"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SR_01_DISREG_ENTITY_NAME","SR_01_ADDR","SR_01_DISREG_ENTITY_PRIMARY_ACT","SR_01_DISREG_ENTITY_DMCL_STATE","SR_01_DISREG_ENTITY_INCOME_TOT","SR_01_DISREG_ENTITY_ASSETS_EOY","SR_01_DISREG_CTRL_NAME","SR_01_DISREG_ENTITY_EIN"
"201941149349301129","730528431","Oklahoma City Museum of Art Inc","2017","990","https://s3.amazonaws.com/irs-form-990/201941149349301129_public.xml","Museum Parking LLC","415 Couch DriveOklahoma CityOK73102","Parking Lot","OK","188767","1661211","Oklahoma City Museum of Art Inc",NA
"201103149349300515","350867985","THE CHILDREN'S MUSEUM OF INDIANAPOLIS INC","2010","990","https://s3.amazonaws.com/irs-form-990/201103149349300515_public.xml","SIDNEY ENTERPRISES LLC","3000 N MERIDIAN STINDIANAPOLISIN46208","PROPERTY DEVELOPMENT & RENOVATION","IN","0","2005302","NA","350867985"
"201110459349301411","311212634","CINCINNATI MUSEUM CENTER","2009","990","https://s3.amazonaws.com/irs-form-990/201110459349301411_public.xml","Helen Steiner Rice Foundation Fund LLC","1301 Western AveCincinnatiOH452031130","Preservation and dissemination of the literary works of Helen Steiner Rice","OH","220610","905711","N/A","270338861"
"201812789349301226","042203829","LONGYEAR FOUNDATION","2017","990","https://s3.amazonaws.com/irs-form-990/201812789349301226_public.xml","LONGYEAR HISTORICAL SOCIETY INC","58 STINSON LAKE RDRUMNEYNH03266","HOLDS REAL ESTATE IN NEW HAMPSHIRE ON BEHALF OF LONGYEAR FOUNDATION","NH","0","0","LONGYEAR FOUNDATION","042203829"
"201532239349301323","510189030","NATIONAL CZECH & SLOVAK MUSEUM & LIBRARY INC","2014","990","https://s3.amazonaws.com/irs-form-990/201532239349301323_public.xml","NCSML PROPERTIES LLC","1400 INSPIRATION PLACE SWCEDAR RAPIDSIA52404","HOLD PROPERTY OWNED BY THE NATIONAL CZECH & SLOVAK MUSEUM & LIBRARY","IA","26374","576858","NATIONAL CZECH & SLOVAK MUSEUM & LIBRARY INC","753183758"
"201703199349312795","461479450","INTERNATIONAL SPY MUSEUM","2016","990","https://s3.amazonaws.com/irs-form-990/201703199349312795_public.xml","House on F street LLC","800 F street NWWashingtonDC20004","museum","DC",NA,"0","international spy museum",NA
