"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SR_01_DISREG_ENTITY_EIN","SR_01_DISREG_ENTITY_PRIMARY_ACT","SR_01_DISREG_ENTITY_DMCL_STATE","SR_01_DISREG_ENTITY_INCOME_TOT","SR_01_DISREG_ENTITY_ASSETS_EOY","SR_01_DISREG_ENTITY_NAME_L1","SR_01_DISREG_ENTITY_ADDR_L1","SR_01_DISREG_ENTITY_ADDR_CITY","SR_01_DISREG_ENTITY_ADDR_STATE","SR_01_DISREG_ENTITY_ADDR_ZIP","SR_01_DISREG_ENTITY_NAME_L1.1"
"201541359349304639","953433820","MUSEUM OF CONTEMPORARY ART","2013","990","https://s3.amazonaws.com/irs-form-990/201541359349304639_public.xml","900776531","ENTERTAINMENT","CA","11207","501204","MOCA TV LLC","250 SOUTH GRAND AVENUE","LOS ANGELES","CA","90012","MUSEUM OF CONTEMPORARY ART"
"201831359349300518","582415361","FORE AUGUSTA FOUNDATION INC","2017","990","https://s3.amazonaws.com/irs-form-990/201831359349300518_public.xml",NA,"TO OWN AND OPERATE CERTAIN REAL ESTATE USED TO HOUSE EQUIPMENT","GA",NA,"57115","FIRST TEE MAINTENANCE LLC","3638 WALTON WAY EXTENSION","AUGUSTA","GA","30909","FORE AUGUSTA FOUNDATION INC"
"201232929349300218","042203829","LONGYEAR FOUNDATION","2011","990","https://s3.amazonaws.com/irs-form-990/201232929349300218_public.xml","999999999","HOLDS REAL ESTATE IN NEW HAMPSHIRE ON BEHALF OF LONGYEAR FOUNDATION","NH",NA,NA,"LONGYEAR HISTORICAL SOCIETY INC","58 STINSON LAKE RD","RUMNEY","NH","03266","LONGYEAR FOUNDATION"
"202001199349300300","860072608","PHOENIX ART MUSEUM","2018","990","https://s3.amazonaws.com/irs-form-990/202001199349300300_public.xml","860072608","SUPPORT THE ACTIVITIES AND MISSION OF THE PHOENIX ART MUSEUM","AZ","229643","0","ARIZONA COSTUME INSTITUTE","1625 N CENTRAL AVE","PHOENIX","AZ","85004","PHOENIX ART MUSEUM"
"202023189349305547","461479450","INTERNATIONAL SPY MUSEUM","2019","990","https://s3.amazonaws.com/irs-form-990/202023189349305547_public.xml",NA,"MUSEUM","DC","0","0","HOUSE ON F STREET LLC","700 LENFANT PLAZA SW","WASHINGTON","DC","20024","INTERNATIONAL SPY MUSEUM"
"201733529349300548","330912735","ESCONDIDO CHILDREN'S MUSEUM INC DBA","2016","990","https://s3.amazonaws.com/irs-form-990/201733529349300548_public.xml","453040203","LAND, BUILDING AND IMPROVEMENTS","CA","0","0","CHILDREN'S DISCOVERY MUSEUM HOLDINGS LLC","320 N BROADWAY","ESCONDIDO","CA","92025","ESCONDIDO CHILDREN'S MUSEUM INC DBA SD CHILDREN'S DISCOVERY MUSEUM"
"201632959349301053","464118590","THE WALT DISNEY FAMILY MUSEUM","2015","990","https://s3.amazonaws.com/irs-form-990/201632959349301053_public.xml","261970408","OPERATES THE WALT DISNEY FAMILY MUSEUM","CA","12893371","68257963","WALT DISNEY FAMILY MUSEUM LLC","PRESIDIO OF SF 104 MONTGOMERY ST","SAN FRANCISCO","CA","94129","THE WALT DISNEY FAMILY MUSEUM"
